OGID	OG_Merge_Status	phyloOGID(s)	synteOGID(s)	paternalDiploid	tetraploid	maternalDiploid	numSeqs_paternalDiploid	numSeqs_tetraploid	numSeqs_maternalDiploid	numSeqs_total	numSpecies	Assignment_Genome	Targeting	CyMIRA_interaction	CyMIRA_subInteraction	PHY_taxon_composition	PHY_top	PHY_BS_support	PHY_paternal_homeolog_in_tet	PHY_maternal_homeolog_in_tet
OG43	Overlapping	"OG0000178.0,OG0000244.0"	OG0015409	"Csuecicum_BBB17985,Csuecicum_BBB06274,Csuecicum_BBB14390,Csuecicum_BBB16705,Csuecicum_BBB17566,Csuecicum_BBB19762"	"AUR62039347,AUR62008791,AUR62008793,AUR62009484,AUR62013557,AUR62020306,AUR62020717,AUR62026656,AUR62032006,AUR62036954,AUR62040150,AUR62041867,AUR62043675"	Cpallidicaule_CP006794	6	13	1	20	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG44	Overlapping	OG0000179.0	OG0001211	Csuecicum_BBB20944	"AUR62031640,AUR62031641,AUR62038872"	"Cpallidicaule_CP015925,Cpallidicaule_CP015924"	1	3	2	6	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG45	Identical	OG0000190.0	OG0012635	Csuecicum_BBB12266	AUR62035539	Cpallidicaule_CP009149	1	1	1	3	3	maternalDiploid	Plastid-targeted_Interacting	pt-Photosynthesis	pt-Photosynthesis-Rubisco	NA	NA	NA	NA	NA
OG46	Overlapping	OG0000200.0	OG0015292	Csuecicum_BBB14844	AUR62036325	Cpallidicaule_CP001560	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG47	Overlapping	OG0000200.1	OG0009069	Csuecicum_BBB00972	"AUR62016358,AUR62011539"	Cpallidicaule_CP021344	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62016358	AUR62011539
OG48	Overlapping	OG0000201.0	OG0014771	Csuecicum_BBB10446	AUR62005352	Cpallidicaule_CP003384	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG49	Overlapping	OG0000203.0	OG0008479	Csuecicum_BBB01548	"AUR62009583,AUR62001795"	Cpallidicaule_CP019831	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62009583	AUR62001795
OG50	Overlapping	"OG0000213.0,OG0000213.2,OG0000213.1"	"OG0000230,OG0014215"	"Csuecicum_BBB19687,Csuecicum_BBB19686,Csuecicum_BBB20196,Csuecicum_BBB20197,Csuecicum_BBB16482,Csuecicum_BBB16483,Csuecicum_BBB19685"	"AUR62029169,AUR62014961,AUR62014962,AUR62029170,AUR62029173,AUR62029165,AUR62014966,AUR62029171"	"Cpallidicaule_CP020371,Cpallidicaule_CP020370,Cpallidicaule_CP020378,Cpallidicaule_CP020377"	7	8	4	19	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG51	Overlapping	"OG0000214.0,OG0000214.2"	"OG0015648,OG0001650"	"Csuecicum_BBB00362,Csuecicum_BBB00358,Csuecicum_BBB00360"	"AUR62012346,AUR62012348,AUR62022993"	"Cpallidicaule_CP017579,Cpallidicaule_CP017477,Cpallidicaule_CP017577,Cpallidicaule_CP017580,Cpallidicaule_CP022516"	3	3	5	11	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG52	Overlapping	OG0000218.0	OG0011186	Csuecicum_BBB00558	"AUR62006797,AUR62000449"	Cpallidicaule_CP008311	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62006797	AUR62000449
OG53	Ortho1-specific	OG0000221.0	N/A	Csuecicum_BBB17385	AUR62033159	Cpallidicaule_CP018099	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG54	Overlapping	"OG0000227.0,OG0001571.0,OG0004949.0"	OG0000612	"Csuecicum_BBB08956,Csuecicum_BBB07044,Csuecicum_BBB15994,Csuecicum_BBB08957,Csuecicum_BBB08958,Csuecicum_BBB15995"	"AUR62032600,AUR62011635,AUR62016466,AUR62031708,AUR62032603,AUR62038024,AUR62031717"	"Cpallidicaule_CP015847,Cpallidicaule_CP015841"	6	7	2	15	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG55	Overlapping	"OG0000235.0,OG0000235.1,OG0000235.2"	OG0000250	"Csuecicum_BBB08998,Csuecicum_BBB08995,Csuecicum_BBB08996,Csuecicum_BBB08997,Csuecicum_BBB08999"	"AUR62008693,AUR62025552,AUR62025536,AUR62025551,AUR62008692,AUR62008694"	"Cpallidicaule_CP018832,Cpallidicaule_CP018828,Cpallidicaule_CP018829,Cpallidicaule_CP018830"	5	6	4	15	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG56	Overlapping	OG0000236.0	OG0006187	Csuecicum_BBB04102	"AUR62018634,AUR62007357"	Cpallidicaule_CP000269	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018634	AUR62007357
OG57	Overlapping	OG0000236.1	OG0008623	Csuecicum_BBB20136	"AUR62025500,AUR62008737"	Cpallidicaule_CP018859	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62008737	AUR62025500
OG58	Overlapping	"OG0000239.0,OG0014303.0"	OG0005197	Csuecicum_BBB17995	"AUR62003261,AUR62026011,AUR62027207"	"Cpallidicaule_CP004385,Cpallidicaule_CP004384"	1	3	2	6	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG59	Overlapping	"OG0000239.1,OG0014225.0"	"OG0016344,OG0014246,OG0000342"	"Csuecicum_BBB21254,Csuecicum_BBB17870,Csuecicum_BBB17871,Csuecicum_BBB16632,Csuecicum_BBB16633"	"AUR62024418,AUR62024415,AUR62024419,AUR62024420,AUR62024416,AUR62026009,AUR62026010"	"Cpallidicaule_CP010816,Cpallidicaule_CP010815,Cpallidicaule_CP010813"	5	7	3	15	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG60	Overlapping	"OG0000250.0,OG0000133.0"	OG0000272	"Csuecicum_BBB04320,Csuecicum_BBB02326,Csuecicum_BBB02327,Csuecicum_BBB02328,Csuecicum_BBB09611,Csuecicum_BBB09612,Csuecicum_BBB09613"	"AUR62015912,AUR62014390,AUR62014391,AUR62014392,AUR62014401,AUR62019131,AUR62019133,AUR62019135,AUR62019136,AUR62019137,AUR62019610,AUR62020312,AUR62044067,AUR62044068,AUR62015909,AUR62015910,AUR62015911,AUR62020313"	"Cpallidicaule_CP010187,Cpallidicaule_CP014507"	7	18	2	27	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG61	Overlapping	OG0000251.0	"OG0016829,OG0012726"	Csuecicum_BBB19571	"AUR62041282,AUR62015078"	"Cpallidicaule_CP009434,Cpallidicaule_CP020242"	1	2	2	5	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG62	Overlapping	"OG0000252.0,OG0000252.1"	"OG0014249,OG0001657,OG0001641"	"Csuecicum_BBB18822,Csuecicum_BBB18823,Csuecicum_BBB05266,Csuecicum_BBB18824,Csuecicum_BBB18825"	"AUR62018684,AUR62007320,AUR62018685,AUR62018686,AUR62018687,AUR62018688"	"Cpallidicaule_CP000228,Cpallidicaule_CP000227,Cpallidicaule_CP000226"	5	6	3	14	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG63	Overlapping	"OG0000254.0,OG0000254.1,OG0000254.2"	OG0000312	"Csuecicum_BBB16499,Csuecicum_BBB16500,Csuecicum_BBB16386,Csuecicum_BBB16502,Csuecicum_BBB16501"	"AUR62017344,AUR62017345,AUR62017346,AUR62040924,AUR62010549"	"Cpallidicaule_CP000895,Cpallidicaule_CP000896,Cpallidicaule_CP009013"	5	5	3	13	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG64	Overlapping	OG0000257.0	OG0007211	Csuecicum_BBB19700	"AUR62026848,AUR62037201"	Cpallidicaule_CP015759	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62037201	AUR62026848
OG65	Overlapping	OG0000262.0	OG0000790	"Csuecicum_BBB21227,Csuecicum_BBB17253"	"AUR62005427,AUR62005426,AUR62014088"	"Cpallidicaule_CP003314,Cpallidicaule_CP003315"	2	3	2	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG66	Overlapping	"OG0000265.0,OG0000265.2"	OG0007247	"Csuecicum_BBB21831,Csuecicum_BBB08953"	"AUR62032592,AUR62031707,AUR62032595,AUR62031713"	"Cpallidicaule_CP015855,Cpallidicaule_CP015853"	2	4	2	8	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG67	Overlapping	"OG0000265.1,OG0009995.0,OG0001153.0"	"OG0014368,OG0000893"	"Csuecicum_BBB08558,Csuecicum_BBB13908,Csuecicum_BBB13901,Csuecicum_BBB08557"	"AUR62022115,AUR62001216,AUR62022109,AUR62001218,AUR62022103,AUR62001213,AUR62022116"	"Cpallidicaule_CP019194,Cpallidicaule_CP019195,Cpallidicaule_CP019196,Cpallidicaule_CP019191,Cpallidicaule_CP019192"	4	7	5	16	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG68	Identical	OG0000269.0	OG0012082	Csuecicum_BBB15261	AUR62034043	Cpallidicaule_CP006732	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG69	Overlapping	"OG0000269.1,OG0014091.0,OG0002762.0"	OG0000247	"Csuecicum_BBB06321,Csuecicum_BBB06322"	"AUR62008839,AUR62025406,AUR62008836,AUR62025405,AUR62008837,AUR62025404"	"Cpallidicaule_CP018981,Cpallidicaule_CP018978,Cpallidicaule_CP018980,Cpallidicaule_CP008140,Cpallidicaule_CP018979"	2	6	5	13	3	maternalDiploid	Mitochondria-targeted_Interacting	mt-Mitoribosome	mt-Mitoribosome-Large_Subunit	NA	NA	NA	NA	NA
